Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression Non-resistant	Expression Resistant	qValue Non-resistant vs Resistant
	336	2798		+	thrA	EcE24377A_0001	bifunctional aspartokinase I/homoserine dehydrogenase I	16	0	0.0
	2800	3732		+	thrB	EcE24377A_0002	homoserine kinase	0	0	1.0
	3733	5019		+	thrC	EcE24377A_0003	threonine synthase	0	0	1.0
	5806	5309		-	-	EcE24377A_0004	hypothetical protein	0	0	1.0
	5789	6769		+	-	EcE24377A_0005	IS621, transposase	0	0	1.0
	7737	6961		-	-	EcE24377A_0006	hypothetical protein	0	0	1.0
	9237	7807		-	agcS	EcE24377A_0007	amino acid carrier protein	0	69	1.0
8383			8482	+	-	predicted RNA	antisense: agcS	0	1000	1.0
	9516	10469		+	tal2	EcE24377A_0008	transaldolase B	0	0	1.0
	10584	11171		+	mogA	EcE24377A_0009	molybdenum cofactor biosynthesis protein MogA	0	0	1.0
11172			13440	+	-	predicted RNA	antisense: EcE24377A_0010 EcE24377A_0011 EcE24377A_0012 EcE24377A_0013	29	0	0.0
	11772	11206	11206	-	-	EcE24377A_0010	hypothetical protein	72	0	0.0
	12634	11921		-	-	EcE24377A_0011	hypothetical protein	0	0	1.0
	13064	12660		-	-	EcE24377A_0012	hypothetical protein	0	0	1.0
	13348	13199		-	-	EcE24377A_0013	hypothetical protein	0	0	1.0
	13441	15357		+	dnaK	EcE24377A_0014	molecular chaperone DnaK	7	52	1.0
13808			13526	-	-	predicted RNA	antisense: dnaK	441	353	1.0
	15446	16576		+	dnaJ	EcE24377A_0015	molecular chaperone DnaJ	0	0	1.0
	17418	18584		+	nhaA	EcE24377A_0016	pH-dependent sodium/proton antiporter	0	0	1.0
	18650	19549		+	nhaR	EcE24377A_0017	transcriptional activator NhaR	0	0	1.0
	20547	19588		-	-	EcE24377A_0018	hypothetical protein	0	0	1.0
	23460	22138		-	-	EcE24377A_0020	hypothetical protein	0	0	1.0
	23481	23585		+	-	EcE24377A_0021	hypothetical protein	0	0	1.0
	24008	23844		-	-	EcE24377A_0022	hypothetical protein	0	0	1.0
	24293	24030		-	rpsT	EcE24377A_0023	30S ribosomal protein S20	0	0	1.0
	24396	24614		+	-	EcE24377A_0024	hypothetical protein	0	0	1.0
24622	24622	25563		+	ribF	EcE24377A_0025	bifunctional riboflavin kinase/FMN adenylyltransferase	38	0	0.0
25564			25605	+	-	predicted RNA	-	833	0	0.0
	25606	28422		+	ileS	EcE24377A_0026	isoleucyl-tRNA synthetase	18	0	0.0
25794			25645	-	-	predicted RNA	antisense: ileS	833	0	0.0
	28422	28916		+	lspA	EcE24377A_0027	lipoprotein signal peptidase	0	0	1.0
	29021	29470		+	fkpB	EcE24377A_0028	FKBP-type peptidylprolyl isomerase	0	0	1.0
	29472	30422		+	ispH	EcE24377A_0029	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	0	105	1.0
29962			29863	-	-	predicted RNA	antisense: ispH	0	1000	1.0
	30488	31402		+	rihC	EcE24377A_0030	ribonucleoside hydrolase RihC	0	0	1.0
31569	31569	32390	32390	+	dapB	EcE24377A_0031	dihydrodipicolinate reductase	0	121	1.0
32286			32187	-	-	predicted RNA	antisense: dapB	0	1000	1.0
	32728	32633		-	-	EcE24377A_0032	hypothetical protein	0	0	1.0
	32846	33994		+	carA	EcE24377A_0033	carbamoyl phosphate synthase small subunit	0	0	1.0
	34012	37233		+	carB	EcE24377A_0034	carbamoyl phosphate synthase large subunit	0	0	1.0
	37459	37241		-	-	EcE24377A_0035	hypothetical protein	0	0	1.0
	37494	37889		+	caiF	EcE24377A_0036	DNA-binding transcriptional activator CaiF	0	0	1.0
	38565	37975		-	caiE	EcE24377A_0037	carnitine operon protein CaiE	0	0	1.0
	39356	38571		-	caiD	EcE24377A_0038	carnitinyl-CoA dehydratase	0	0	1.0
	41033	39465		-	caiC	EcE24377A_0039	crotonobetaine/carnitine-CoA ligase	0	0	1.0
	42309	41092		-	caiB	EcE24377A_0040	crotonobetainyl-CoA:carnitine CoA-transferase	0	0	1.0
	43580	42438		-	caiA	EcE24377A_0041	crotonobetainyl-CoA dehydrogenase	0	0	1.0
	45125	43611		-	caiT	EcE24377A_0042	L-carnitine/gamma-butyrobetaine antiporter	0	0	1.0
	45140	45241		+	-	EcE24377A_0043	hypothetical protein	0	0	1.0
	45420	45530		+	-	EcE24377A_0044	hypothetical protein	0	0	1.0
	45599	46369		+	etfB	EcE24377A_0045	electron transfer flavoprotein FixA	0	0	1.0
